date,series,value,category,year,change_from_2019_avg
2020-01-01,high_propensity,101067.0,type,2020,-6.132046265107981
2020-02-01,high_propensity,111892.0,type,2020,3.921884287695666
2020-03-01,high_propensity,95554.0,type,2020,-11.252352882900729
2020-04-01,high_propensity,76644.0,type,2020,-28.815385377451946
2020-05-01,high_propensity,93965.0,type,2020,-12.728167723400036
2020-06-01,high_propensity,122756.0,type,2020,14.012036853576387
2020-07-01,high_propensity,174685.0,type,2020,62.24211165048544
2020-08-01,high_propensity,159419.0,type,2020,48.06351545472559
2020-09-01,high_propensity,143956.0,type,2020,33.701951654448195
2020-10-01,high_propensity,135889.0,type,2020,26.20956756489004
2020-11-01,high_propensity,132876.0,type,2020,23.411184862294437
2020-12-01,high_propensity,111509.0,type,2020,3.5661655438874624
2021-01-01,high_propensity,158155.0,type,2021,46.88955072320191
2021-02-01,high_propensity,141656.0,type,2021,31.565781652466818
2021-03-01,high_propensity,150495.0,type,2021,39.77517584703785
2021-04-01,high_propensity,158390.0,type,2021,47.10781157123044
2021-05-01,high_propensity,158783.0,type,2021,47.47281801069943
2021-06-01,high_propensity,147795.0,type,2021,37.267498018624934
2021-07-01,high_propensity,145756.0,type,2021,35.373736873390136
2021-08-01,high_propensity,141675.0,type,2021,31.583428274222314
2021-09-01,high_propensity,140613.0,type,2021,30.59707499504657
2021-10-01,high_propensity,141938.0,type,2021,31.82769467010106
2021-11-01,high_propensity,144650.0,type,2021,34.34651773330692
2021-12-01,high_propensity,134122.0,type,2021,24.568431741628697
2022-01-01,high_propensity,138365.0,type,2022,28.509201010501293
2022-02-01,high_propensity,134642.0,type,2022,25.0513919159897
2022-03-01,high_propensity,133306.0,type,2022,23.810555775708348
2022-04-01,high_propensity,135247.0,type,2022,25.613297503467415
2022-05-01,high_propensity,137530.0,type,2022,27.73367842282545
2022-06-01,high_propensity,136273.0,type,2022,26.56621507826432
2022-07-01,high_propensity,141269.0,type,2022,31.2063478303943
2022-08-01,high_propensity,139788.0,type,2022,29.83084010303151
2022-09-01,high_propensity,140754.0,type,2022,30.72803150386369
2022-10-01,high_propensity,142323.0,type,2022,32.18527095304142
2020-01-01,not_high_propensity,178206.0,type,2020,-3.9373403613997744
2020-02-01,not_high_propensity,188598.0,type,2020,1.664508953237968
2020-03-01,not_high_propensity,165345.0,type,2020,-10.87011403687668
2020-04-01,not_high_propensity,156364.0,type,2020,-15.711358137604314
2020-05-01,not_high_propensity,203128.0,type,2020,9.496963778265528
2020-06-01,not_high_propensity,257847.0,type,2020,38.993460376385485
2020-07-01,not_high_propensity,377529.0,type,2020,103.50852289317478
2020-08-01,not_high_propensity,326983.0,type,2020,76.26149869593851
2020-09-01,not_high_propensity,293329.0,type,2020,58.120174905059116
2020-10-01,not_high_propensity,276561.0,type,2020,49.081317196451955
2020-11-01,not_high_propensity,262793.0,type,2020,41.6596215301767
2020-12-01,not_high_propensity,235863.0,type,2020,27.14289693017724
2021-01-01,not_high_propensity,323840.0,type,2021,74.56725192958878
2021-02-01,not_high_propensity,285785.0,type,2021,54.05355142260847
2021-03-01,not_high_propensity,303189.0,type,2021,63.43524748419001
2021-04-01,not_high_propensity,331618.0,type,2021,78.76001405134132
2021-05-01,not_high_propensity,341702.0,type,2021,84.19583472963298
2021-06-01,not_high_propensity,304108.0,type,2021,63.93063812315768
2021-07-01,not_high_propensity,301562.0,type,2021,62.558206603231994
2021-08-01,not_high_propensity,289083.0,type,2021,55.83135156114536
2021-09-01,not_high_propensity,292424.0,type,2021,57.632331022288994
2021-10-01,not_high_propensity,288799.0,type,2021,55.67826022113793
2021-11-01,not_high_propensity,287224.0,type,2021,54.82925014891368
2021-12-01,not_high_propensity,286266.0,type,2021,54.31283640339569
2022-01-01,not_high_propensity,292364.0,type,2022,57.59998778144235
2022-02-01,not_high_propensity,283527.0,type,2022,52.83636745874666
2022-03-01,not_high_propensity,285236.0,type,2022,53.75761076886173
2022-04-01,not_high_propensity,289664.0,type,2022,56.14454194334364
2022-05-01,not_high_propensity,285057.0,type,2022,53.66112010033592
2022-06-01,not_high_propensity,276608.0,type,2022,49.106652735115155
2022-07-01,not_high_propensity,285972.0,type,2022,54.154354523247164
2022-08-01,not_high_propensity,282794.0,type,2022,52.44124086640356
2022-09-01,not_high_propensity,286821.0,type,2022,54.61201138122709
2022-10-01,not_high_propensity,290511.0,type,2022,56.60112069329535
2020-01-01,us_total,279273.0,type,2020,-4.743339831059129
2020-02-01,us_total,300490.0,type,2020,2.4935235922020467
2020-03-01,us_total,260899.0,type,2020,-11.010490160464835
2020-04-01,us_total,233008.0,type,2020,-20.523774684109906
2020-05-01,us_total,297093.0,type,2020,1.334847763912552
2020-06-01,us_total,380603.0,type,2020,29.819103996016093
2020-07-01,us_total,552214.0,type,2020,88.35355132265387
2020-08-01,us_total,486402.0,type,2020,65.90586995339032
2020-09-01,us_total,437285.0,type,2020,49.15265221476945
2020-10-01,us_total,412450.0,type,2020,40.68173252222614
2020-11-01,us_total,395669.0,type,2020,34.95793532631033
2020-12-01,us_total,347372.0,type,2020,18.48440972168927
2021-01-01,us_total,481995.0,type,2021,64.40269527712545
2021-02-01,us_total,427441.0,type,2021,45.79498225489845
2021-03-01,us_total,453684.0,type,2021,54.74615380679754
2021-04-01,us_total,490008.0,type,2021,67.13583316705295
2021-05-01,us_total,500485.0,type,2021,70.70941181085307
2021-06-01,us_total,451903.0,type,2021,54.13867613526867
2021-07-01,us_total,447318.0,type,2021,52.57478780064773
2021-08-01,us_total,430758.0,type,2021,46.926371045724544
2021-09-01,us_total,433037.0,type,2021,47.70371052546307
2021-10-01,us_total,430737.0,type,2021,46.91920819839041
2021-11-01,us_total,431874.0,type,2021,47.307025218338936
2021-12-01,us_total,420388.0,type,2021,43.38928881453171
2022-01-01,us_total,430729.0,type,2022,46.916479494644065
2022-02-01,us_total,418169.0,type,2022,42.63241461289074
2022-03-01,us_total,418542.0,type,2022,42.75964042506383
2022-04-01,us_total,424911.0,type,2022,44.93202969511852
2022-05-01,us_total,422587.0,type,2022,44.13934125680684
2022-06-01,us_total,412881.0,type,2022,40.82874143656019
2022-07-01,us_total,427241.0,type,2022,45.726764661239955
2022-08-01,us_total,422582.0,type,2022,44.13763581696538
2022-09-01,us_total,427575.0,type,2022,45.84068804264964
2022-10-01,us_total,432834.0,type,2022,47.6344696678997
2020-01-01,northeast,43982.0,region,2020,-7.726198302026653
2020-02-01,northeast,48370.0,region,2020,1.4797823684909908
2020-03-01,northeast,39444.0,region,2020,-17.246877491363268
2020-04-01,northeast,31490.0,region,2020,-33.9342909492706
2020-05-01,northeast,42130.0,region,2020,-11.61167601437822
2020-06-01,northeast,54444.0,region,2020,14.222974390533874
2020-07-01,northeast,75922.0,region,2020,59.283606305159665
2020-08-01,northeast,72796.0,region,2020,52.7252891729723
2020-09-01,northeast,68138.0,region,2020,42.95285116858051
2020-10-01,northeast,64488.0,region,2020,35.2951872106522
2020-11-01,northeast,61844.0,region,2020,29.748101318936467
2020-12-01,northeast,52150.0,region,2020,9.410185042729072
2021-01-01,northeast,73095.0,region,2021,53.35258822048479
2021-02-01,northeast,64442.0,region,2021,35.19867966488105
2021-03-01,northeast,66498.0,region,2021,39.512147362826425
2021-04-01,northeast,70474.0,region,2021,47.85375610165462
2021-05-01,northeast,69089.0,region,2021,44.94803977789278
2021-06-01,northeast,65561.0,region,2021,37.54633061527058
2021-07-01,northeast,66662.0,region,2021,39.85621774340183
2021-08-01,northeast,66258.0,region,2021,39.00862973271607
2021-09-01,northeast,64875.0,region,2021,36.10710938920515
2021-10-01,northeast,66504.0,region,2021,39.52473530357918
2021-11-01,northeast,65293.0,region,2021,36.98406926164735
2021-12-01,northeast,64899.0,region,2021,36.157461152216186
