date,series,value,category,year,change_from_2019_avg,series_clean
2020-01-01,high_propensity,101067,type,2020,-6.132046265,Likely to Hire Employees
2020-02-01,high_propensity,111892,type,2020,3.921884288,Likely to Hire Employees
2020-03-01,high_propensity,95554,type,2020,-11.25235288,Likely to Hire Employees
2020-04-01,high_propensity,76644,type,2020,-28.81538538,Likely to Hire Employees
2020-05-01,high_propensity,93965,type,2020,-12.72816772,Likely to Hire Employees
2020-06-01,high_propensity,122756,type,2020,14.01203685,Likely to Hire Employees
2020-07-01,high_propensity,174685,type,2020,62.24211165,Likely to Hire Employees
2020-08-01,high_propensity,159419,type,2020,48.06351545,Likely to Hire Employees
2020-09-01,high_propensity,143956,type,2020,33.70195165,Likely to Hire Employees
2020-10-01,high_propensity,135889,type,2020,26.20956756,Likely to Hire Employees
2020-11-01,high_propensity,132876,type,2020,23.41118486,Likely to Hire Employees
2020-12-01,high_propensity,111509,type,2020,3.566165544,Likely to Hire Employees
2021-01-01,high_propensity,158155,type,2021,46.88955072,Likely to Hire Employees
2021-02-01,high_propensity,141656,type,2021,31.56578165,Likely to Hire Employees
2021-03-01,high_propensity,150495,type,2021,39.77517585,Likely to Hire Employees
2021-04-01,high_propensity,158390,type,2021,47.10781157,Likely to Hire Employees
2021-05-01,high_propensity,158783,type,2021,47.47281801,Likely to Hire Employees
2021-06-01,high_propensity,147795,type,2021,37.26749802,Likely to Hire Employees
2021-07-01,high_propensity,145756,type,2021,35.37373687,Likely to Hire Employees
2021-08-01,high_propensity,141675,type,2021,31.58342827,Likely to Hire Employees
2021-09-01,high_propensity,140613,type,2021,30.597075,Likely to Hire Employees
2021-10-01,high_propensity,141938,type,2021,31.82769467,Likely to Hire Employees
2021-11-01,high_propensity,144650,type,2021,34.34651773,Likely to Hire Employees
2021-12-01,high_propensity,134122,type,2021,24.56843174,Likely to Hire Employees
2022-01-01,high_propensity,138365,type,2022,28.50920101,Likely to Hire Employees
2022-02-01,high_propensity,134642,type,2022,25.05139192,Likely to Hire Employees
2022-03-01,high_propensity,133306,type,2022,23.81055578,Likely to Hire Employees
2022-04-01,high_propensity,135247,type,2022,25.6132975,Likely to Hire Employees
2022-05-01,high_propensity,137530,type,2022,27.73367842,Likely to Hire Employees
2022-06-01,high_propensity,136273,type,2022,26.56621508,Likely to Hire Employees
2022-07-01,high_propensity,141269,type,2022,31.20634783,Likely to Hire Employees
2022-08-01,high_propensity,139788,type,2022,29.8308401,Likely to Hire Employees
2022-09-01,high_propensity,140754,type,2022,30.7280315,Likely to Hire Employees
2022-10-01,high_propensity,142323,type,2022,32.18527095,Likely to Hire Employees
2020-01-01,not_high_propensity,178206,type,2020,-3.937340361,Not Likely to Hire Employees
2020-02-01,not_high_propensity,188598,type,2020,1.664508953,Not Likely to Hire Employees
2020-03-01,not_high_propensity,165345,type,2020,-10.87011404,Not Likely to Hire Employees
