date,category,series,value
2004-07-01,overall,us_total,159076
2004-08-01,overall,us_total,192448
2004-09-01,overall,us_total,191364
2004-10-01,overall,us_total,191126
2004-11-01,overall,us_total,211876
2004-12-01,overall,us_total,193153
2005-01-01,overall,us_total,202362
2005-02-01,overall,us_total,204417
2005-03-01,overall,us_total,201502
2005-04-01,overall,us_total,203800
2005-05-01,overall,us_total,203204
2005-06-01,overall,us_total,209664
2005-07-01,overall,us_total,207612
2005-08-01,overall,us_total,205130
2005-09-01,overall,us_total,184627
2005-10-01,overall,us_total,230837
2005-11-01,overall,us_total,223141
2005-12-01,overall,us_total,233400
2006-01-01,overall,us_total,217068
2006-02-01,overall,us_total,225790
2006-03-01,overall,us_total,222336
2006-04-01,overall,us_total,222977
2006-05-01,overall,us_total,221696
2006-06-01,overall,us_total,217852
2006-07-01,overall,us_total,219888
2006-08-01,overall,us_total,219277
2006-09-01,overall,us_total,212234
2006-10-01,overall,us_total,207117
2006-11-01,overall,us_total,202840
2006-12-01,overall,us_total,246579
2007-01-01,overall,us_total,207449
2007-02-01,overall,us_total,217634
2007-03-01,overall,us_total,215934
2007-04-01,overall,us_total,214273
2007-05-01,overall,us_total,220401
2007-06-01,overall,us_total,221472
2007-07-01,overall,us_total,221023
2007-08-01,overall,us_total,218653
2007-09-01,overall,us_total,226399
2007-10-01,overall,us_total,233607
2007-11-01,overall,us_total,213947
2007-12-01,overall,us_total,244668
2008-01-01,overall,us_total,207750
2008-02-01,overall,us_total,210250
2008-03-01,overall,us_total,220244
2008-04-01,overall,us_total,219141
2008-05-01,overall,us_total,215795
2008-06-01,overall,us_total,210534
2008-07-01,overall,us_total,209758
2008-08-01,overall,us_total,222770
2008-09-01,overall,us_total,210692
2008-10-01,overall,us_total,205615
2008-11-01,overall,us_total,204789
2008-12-01,overall,us_total,186335
2009-01-01,overall,us_total,207599
2009-02-01,overall,us_total,195134
2009-03-01,overall,us_total,198643
2009-04-01,overall,us_total,198914
2009-05-01,overall,us_total,199839
2009-06-01,overall,us_total,202914
2009-07-01,overall,us_total,207364
2009-08-01,overall,us_total,201822
2009-09-01,overall,us_total,206052
2009-10-01,overall,us_total,203953
2009-11-01,overall,us_total,207860
2009-12-01,overall,us_total,200415
2010-01-01,overall,us_total,201330
2010-02-01,overall,us_total,202286
2010-03-01,overall,us_total,203433
2010-04-01,overall,us_total,206360
2010-05-01,overall,us_total,210828
2010-06-01,overall,us_total,204745
2010-07-01,overall,us_total,207739
2010-08-01,overall,us_total,207807
2010-09-01,overall,us_total,214192
2010-10-01,overall,us_total,214205
2010-11-01,overall,us_total,221622
2010-12-01,overall,us_total,205263
2011-01-01,overall,us_total,219765
2011-02-01,overall,us_total,224043
2011-03-01,overall,us_total,213462
2011-04-01,overall,us_total,213987
2011-05-01,overall,us_total,186230
2011-06-01,overall,us_total,219909
2011-07-01,overall,us_total,216906
2011-08-01,overall,us_total,213225
2011-09-01,overall,us_total,212653
2011-10-01,overall,us_total,205752
2011-11-01,overall,us_total,221348
2011-12-01,overall,us_total,228034
2012-01-01,overall,us_total,184679
2012-02-01,overall,us_total,214338
2012-03-01,overall,us_total,216980
2012-04-01,overall,us_total,217992
2012-05-01,overall,us_total,220395
2012-06-01,overall,us_total,208496
2012-07-01,overall,us_total,208484
2012-08-01,overall,us_total,208982
2012-09-01,overall,us_total,207144
2012-10-01,overall,us_total,212702
2012-11-01,overall,us_total,202294
2012-12-01,overall,us_total,274106
2013-01-01,overall,us_total,219186
